,name,length,oneway,lanes,maxspeed
456,Hardwicke Street,276.3599999999999,False,2,30
457,Harman Street,128.834,False,2,30
458,Harmony Row,206.28599999999997,False,2,50
459,Harold Road,319.494,False,3,50
460,Haroldville Avenue,291.64,False,3,50
461,Harty Place,373.354,False,2,50
462,Hatch Street Lower,483.164,False,2,50
463,Hatch Street Upper,581.192,False,3,50
464,Hawkins Street,182.71,True,2,30
465,Haymarket,175.816,False,2,30
466,Healy Street,63.098,False,2,30
467,Hendrick Lane,56.914,True,2,50
468,Hendrick Place,78.592,False,2,30
469,Hendrick Street,143.797,True,2,50
470,Henrietta Street,337.688,False,2,50
471,Herbert Place,607.5740000000001,False,2,30
472,Herbert Street,498.462,False,2,50
473,Herberton Park,383.554,False,2,30
474,Herberton Road,586.7860000000001,False,2,50
475,Herberton Street,168.86599999999999,False,2,50
476,Heuston Station,89.548,False,2,30
477,Hewardine Terrace,82.298,False,1,50
478,Heytesbury Street,493.46999999999997,False,1,50
479,Hibernian Avenue,101.46,False,2,30
480,High Street,426.81499999999994,True,2,30
481,Hill Street,559.742,False,2,30
482,Hogan Avenue,211.29399999999998,True,2,30
483,Hogan Place,352.63800000000003,False,2,30
484,Holles Place,70.78399999999999,False,2,30
485,Holles Row,124.324,True,2,30
486,Holles Street,361.544,False,2,30
487,Holycross Avenue,183.64999999999998,False,2,30
488,Huband Bridge,88.78,False,2,30
489,Hume Street,126.44699999999997,True,2,30
490,Huxley Crescent,148.482,False,2,30
491,Hyacinth Street,127.826,False,2,30
492,Imaal Road,301.73800000000006,False,2,30
493,Infirmary Road,1016.438,False,2,30
494,Ingram Road,179.588,False,2,30
495,Innisfallen Parade,687.798,False,2,30
496,Inns Quay,263.773,True,2,30
497,Irwin Court,182.43,False,2,30
498,Irwin Street,155.64800000000002,False,2,30
499,Island Street,473.17600000000004,False,,
500,Island Villa,99.104,False,2,30
501,Ivar Street,323.872,False,2,30
502,James Joyce Bridge,110.71,False,2,30
503,James Joyce Street,520.7710000000001,True,2,30
504,James Street,1681.0459999999998,True,2,30
505,James Street East,219.204,True,2,50
506,James's Place East,289.15,False,2,50
507,Jerome Connor Place,168.168,False,2,30
508,Jervis Street,380.14700000000005,True,2,50
509,John Dillon Street,401.0779999999999,False,2,50
510,John Field Road,206.99400000000003,False,1,30
511,John Street North,129.368,False,2,30
512,John Street South,385.51199999999994,False,2,50
513,John Street West,293.956,False,2,50
514,John's Lane West,320.89199999999994,False,2,30
515,Johnson's Place,101.37199999999999,True,2,30
516,Jones's Road,324.284,False,2,50
517,Josephine Avenue,92.766,False,2,50
518,Kenmare Parade,151.44,False,2,30
519,Kevin Street Lower,573.736,True,2,30
520,Kevin Street Upper,588.207,True,2,30
521,Kildare Street,624.3639999999999,True,2,30
522,Killarney Avenue,129.828,False,,
523,Killarney Parade,265.27,False,,
524,Killarney Street,204.07700000000003,True,,
525,Kinahan Street,330.718,False,2,30
526,King's Inn's Street,264.233,True,,
527,King's Inns Court,80.406,False,2,30
528,Kings Avenue,228.73400000000004,False,2,30
529,Kingston Lodge,258.344,False,2,30
530,Kirwan Street,289.123,True,,
531,Kirwan Street Cottages,586.994,False,1,30
532,Lamb Alley,322.84400000000005,False,1,30
533,Langrishe Place,129.094,False,,
534,Leeson Street Lower,236.907,True,1,30
535,Leinster Street South,138.867,True,2,30
536,Leix Road,962.264,False,2,30
537,Leo Avenue,73.682,False,2,30
538,Leo Street,315.394,False,1,30
539,Leslie's Buildings,116.922,False,2,30
540,Liberty House,344.142,False,2,30
541,Liberty Square,68.644,False,2,30
542,Liffey Street Lower,147.41599999999997,True,2,30
543,Liffey Street Upper,175.154,False,,
544,Liffey Street West,177.57800000000003,False,2,30
545,Lime Street,356.638,False,2,30
546,Lincoln Lane,384.01500000000004,True,,
547,Lincoln Place,169.127,True,2,30
548,Linenhall Parade,171.77800000000002,False,2,30
549,Linenhall Street,144.924,False,,
550,Linenhall Terrace,252.40000000000003,False,2,30
551,Lisburn Street,159.63,False,2,30
552,Little Britain Street,307.26800000000003,False,,
553,Little Green Street,103.956,True,2,30
554,Little Strand Street,149.68699999999995,True,2,30
555,Litton Lane,71.725,True,2,30
556,Loftus Lane,192.852,True,2,30
557,Loftus lane,56.544000000000004,False,2,30
558,Lombard Court,225.14,False,2,30
559,Lombard Street East,346.847,True,2,30
560,Lombard Street West,699.9600000000002,False,2,30
561,Long Lane,300.837,True,2,30
562,Long Lane Close,109.378,False,2,30
563,Long's Place,386.524,False,2,30
564,Longford Street Great,126.343,True,2,30
565,Longford Street Little,73.094,True,2,30
566,Lord Edward Street,311.092,False,2,30
567,Loreto Road,187.534,False,,
